PartnerId,DocumentDate
4878,2022-12-30
331,2022-12-30
554,2022-12-30
12653,2022-12-30
331,2022-12-30
1019,2022-12-30
11572,2022-12-30
4596,2022-12-30
6448,2022-12-30
12467,2022-12-30
11159,2022-12-29
7047,2022-12-29
8655,2022-12-29
11414,2022-12-29
9975,2022-12-29
6573,2022-12-29
8857,2022-12-29
143,2022-12-29
6560,2022-12-29
8655,2022-12-29
12698,2022-12-29
6273,2022-12-29
11877,2022-12-29
9934,2022-12-29
8362,2022-12-28
1058,2022-12-28
1098,2022-12-28
954,2022-12-28
11173,2022-12-28
6108,2022-12-28
554,2022-12-28
10413,2022-12-28
7189,2022-12-28
1106,2022-12-28
1035,2022-12-28
12798,2022-12-28
9212,2022-12-28
1098,2022-12-28
12812,2022-12-28
554,2022-12-28
1098,2022-12-28
1098,2022-12-28
10711,2022-12-28
10711,2022-12-28
12724,2022-12-28
10771,2022-12-28
10599,2022-12-28
12724,2022-12-28
331,2022-12-28
732,2022-12-28
