PartnerId,Sales
1098,122128
6050,54052
8655,53168
316,49887
4518,41478
6246,37601
10599,32442
11119,31367
162,29484
6557,27471
780,26886
554,25887
7189,25618
11255,24071
6173,23848
882,23503
11352,23443
9080,22615
10899,22166
624,21658
7287,21658
4775,21340
9866,21228
11301,19932
1106,19751
161,19630
11966,19620
12279,19206
690,18827
12083,18434
10874,18383
723,18121
9831,17801
6727,17539
7128,17306
1809,17125
793,16808
342,16597
9593,15971
11350,15852
8028,15669
9226,14900
12281,14872
5871,14717
9694,14020
12070,13841
9106,13657
505,13576
8456,13575
9759,13505
864,13022
202,12925
442,12725
6972,12653
12247,12537
11173,11990
1023,11977
8730,11909
698,11907
11945,11819
10771,11694
6919,11586
10470,11570
11502,11410
524,11252
10592,11140
1058,10907
12411,10743
1141,10640
9652,10584
11159,10540
8923,10459
6027,10431
9214,10310
1430,10298
11349,10267
4814,10235
689,10172
5390,10066
1804,10040
8191,10034
11514,9916
9690,9746
11195,9528
11572,9339
10413,9265
11444,9165
11325,8949
5056,8925
633,8809
8992,8802
1790,8760
12316,8749
954,8635
10577,8491
1851,8454
7021,8450
11361,8437
331,8387
8682,8226
12467,8173
6108,8126
9934,7950
12027,7948
8231,7942
6805,7921
484,7769
10776,7768
5872,7739
1035,7696
10427,7686
11414,7667
5866,7611
8663,7581
10756,7537
11010,7495
8198,7468
603,7435
257,7361
1139,7324
12301,7321
12277,7306
8362,7192
143,7186
11567,7181
365,7131
8379,7102
12229,7048
492,7037
8845,6921
12085,6913
10504,6897
11071,6863
11016,6779
5394,6768
10236,6752
11517,6729
10594,6678
6326,6624
7672,6623
12165,6618
10835,6518
12275,6486
5987,6483
11292,6462
12263,6414
6307,6389
8434,6363
10711,6333
697,6328
10112,6187
10941,6176
8448,6123
7047,6077
10766,6029
9833,6009
1387,5995
8565,5970
10226,5966
9879,5920
5575,5911
7709,5910
12424,5903
9908,5874
8927,5792
12322,5787
6011,5708
5820,5699
4624,5634
6448,5577
1049,5567
9034,5539
6446,5525
1196,5500
10809,5346
193,5313
12215,5246
11601,5240
11867,5211
5904,5201
10403,5169
10949,5010
10023,4990
113,4967
11833,4934
12176,4902
6250,4882
12355,4836
1853,4820
1663,4769
564,4764
6015,4748
11512,4743
12370,4730
12175,4710
615,4679
12464,4615
1038,4601
9577,4593
10769,4571
10387,4568
10001,4546
10696,4545
12166,4491
11801,4483
6387,4477
6273,4462
11217,4456
11131,4419
9541,4385
917,4379
300,4329
10691,4290
12516,4264
11770,4246
533,4200
476,4176
12486,4159
738,4139
12091,4123
12227,4083
11605,4038
6573,4032
11741,4009
667,3961
11815,3944
967,3937
11555,3912
1029,3906
6769,3899
11984,3870
6342,3819
1059,3816
5066,3714
10961,3711
6130,3694
7714,3682
486,3647
10132,3647
10550,3634
12094,3618
11518,3583
1190,3569
1019,3550
12164,3529
11250,3512
7529,3475
1018,3475
10857,3473
6345,3432
5324,3422
12526,3419
1073,3355
11859,3309
9676,3299
11287,3288
12610,3275
12266,3258
9515,3251
152,3246
12129,3227
12682,3150
11761,3146
6560,3110
12005,3048
6744,3033
8501,3027
12358,3027
12376,2933
11655,2918
12051,2915
10590,2886
6955,2822
11528,2808
7779,2806
1155,2790
8939,2786
1191,2778
12038,2755
9580,2747
10613,2746
7269,2737
856,2730
11931,2728
11748,2726
1720,2704
7506,2702
10910,2667
10366,2665
360,2648
1009,2612
12519,2605
8878,2603
4967,2599
10787,2594
11826,2589
12351,2561
1132,2556
6290,2553
12117,2526
5094,2514
12427,2513
12518,2508
1838,2508
1083,2501
5640,2419
5902,2419
708,2416
10637,2414
12260,2407
11132,2401
10920,2398
10220,2388
5445,2376
10072,2374
11794,2356
11191,2353
11813,2350
12308,2323
10457,2320
10909,2311
10634,2290
7361,2278
9751,2266
6548,2224
1145,2210
11871,2208
8473,2192
12185,2183
12395,2178
574,2167
8936,2166
9556,2161
10829,2148
1199,2143
12131,2139
11571,2124
11049,2116
8805,2113
124,2107
10861,2097
11046,2088
8540,2086
11095,2068
12438,2066
1085,2066
11877,2055
11399,2052
11976,2045
11168,2022
10183,2014
7579,1991
8005,1950
9853,1934
11556,1931
11893,1924
488,1889
6158,1871
12425,1871
10814,1863
461,1855
12404,1842
7826,1827
9712,1803
6789,1784
7632,1784
9801,1779
12163,1774
12702,1766
12406,1721
12560,1717
10922,1711
12672,1706
11467,1696
9890,1691
9975,1670
11153,1666
11471,1664
10802,1644
6358,1636
791,1633
777,1630
12496,1629
12432,1621
7863,1617
10146,1594
5722,1594
6227,1585
977,1567
12146,1558
12687,1553
12206,1545
11513,1544
10482,1539
10690,1537
12402,1534
12418,1517
12577,1504
12497,1501
12493,1499
7570,1498
12590,1493
11379,1475
11797,1473
732,1471
7409,1469
7059,1467
6720,1456
12706,1455
1142,1452
12505,1441
11901,1439
446,1428
12360,1414
11356,1411
4,1405
11503,1386
12242,1383
6437,1371
6801,1367
11438,1353
6944,1346
10341,1343
9212,1337
11529,1326
12075,1309
12431,1302
11422,1274
11532,1268
12421,1267
9026,1259
353,1246
12556,1235
12138,1233
9584,1219
11746,1216
9402,1215
12323,1215
10200,1207
1186,1205
678,1205
142,1194
12357,1188
12110,1187
12302,1182
4517,1182
12523,1173
1183,1173
10851,1169
11547,1147
5039,1147
591,1146
10295,1141
12410,1135
11466,1132
11030,1132
4596,1112
12055,1108
7484,1107
12653,1102
7998,1100
9730,1094
12267,1094
10724,1086
11187,1053
4696,1033
775,1030
324,1025
11999,1017
12331,1012
5674,1009
12724,1008
12222,1001
11520,1000
12417,986
11167,984
12490,983
10217,983
5485,978
