DocumentId,PartnerId,DocumentDate,City,Sales
756724,11555,1/3/2022,CLUJ NAPOCA,246
756728,11119,1/3/2022,ARAD,831
756737,484,1/3/2022,PIATRA NEAMT,333
756740,331,1/3/2022,BRASOV,"1,391"
756755,554,1/3/2022,CRAIOVA,893
756763,624,1/3/2022,CAREI,481
756769,1106,1/3/2022,SUCEAVA,967
756775,11503,1/3/2022,VALIUG,"2,446"
756777,8927,1/3/2022,CICEU-MIHAIESTI,"1,065"
756779,1838,1/3/2022,SANPETRU,267
756781,442,1/3/2022,TURDA,330
756786,6290,1/3/2022,CLUJ-NAPOCA,492
756794,6050,1/3/2022,CRISTURU SECUIESC,208
756796,1058,1/3/2022,ODORHEIU SECUIESC,373
756801,6050,1/3/2022,ODORHEIU SECUIESC,564
756809,342,1/3/2022,MIERCUREA CIUC,"1,544"
756818,342,1/3/2022,MIERCUREA CIUC,782
756831,9908,1/3/2022,SFANTU  GHEORGHE,601
756833,9908,1/3/2022,SFANTU  GHEORGHE,64
756840,7714,1/3/2022,HUEDIN,416
756848,7672,1/3/2022,FAGARAS,695
756854,257,1/3/2022,ODORHEIU SECUIESC,186
756857,4518,1/3/2022,TARGU JIU,917
756863,11352,1/3/2022,IZVORUL MURESULUI,386
756879,11352,1/3/2022,IZVORUL MURESULUI,60
756882,6446,1/3/2022,CLUJ NAPOCA,540
756892,4518,1/3/2022,TARGU JIU,"1,228"
756913,6448,1/3/2022,RADAUTI,195
756915,12083,1/3/2022,MIERCUREA CIUC,81
756919,11547,1/3/2022,LIEBLING,322
756925,9676,1/3/2022,MOLDOVA NOUA,"1,931"
756932,1098,1/3/2022,BUCURESTI SECTORUL 6,796
756937,11945,1/3/2022,BUCURESTI SECTORUL 2,318
756938,1098,1/3/2022,BUCURESTI SECTORUL 1,-329
756939,1098,1/3/2022,BUCURESTI SECTORUL 1,-849
756944,1098,1/3/2022,BUCURESTI SECTORUL 1,156
756951,316,1/3/2022,TIMISOARA,502
756957,9214,1/3/2022,ODORHEIU SECUIESC,171
756960,1098,1/3/2022,BUCURESTI SECTORUL 3,94
756964,1098,1/3/2022,BUCURESTI SECTORUL 5,94
756965,1098,1/3/2022,BUCURESTI SECTORUL 5,94
756966,1098,1/3/2022,BUCURESTI SECTORUL 2,94
757011,11173,1/4/2022,TIMISOARA,594
757015,1809,1/4/2022,BRASOV,561
757031,10226,1/4/2022,DEJ,416
757033,882,1/4/2022,TARGU-MURES,573
757038,162,1/4/2022,SOVATA,740
757043,162,1/4/2022,SOVATA,740
757052,9080,1/4/2022,ZABALA,923
757065,10470,1/4/2022,TARGU MURES,574
757067,6050,1/4/2022,MIERCUREA CIUC,416
757079,11159,1/4/2022,TG MURES,612
