PartnerId,Purchase Frequency
1098,401
8655,162
316,161
6050,121
554,119
4518,111
162,109
6246,99
11119,90
524,83
780,80
9080,77
8456,76
8191,75
1106,71
342,70
12083,69
6027,66
11255,65
6130,60
6557,59
9676,58
882,58
1809,57
1387,57
10899,57
10771,54
8362,54
9593,53
690,52
10599,49
624,49
8992,49
9866,49
7189,48
954,47
12070,46
113,46
7287,46
1141,45
9214,44
11352,44
331,42
4775,41
11966,41
11301,41
1035,41
193,39
12215,39
6727,39
5390,39
161,39
10691,39
10874,38
7128,38
11945,38
5866,36
1804,36
6173,36
442,35
8927,35
9833,35
6015,35
6919,35
564,35
1851,34
864,34
6805,34
11349,34
12279,33
9106,33
8028,33
689,33
6326,33
650,33
7021,32
1430,32
9831,32
11444,32
5820,32
7569,32
11173,32
1058,31
793,31
10470,30
10236,30
9690,30
1073,30
11350,29
11325,29
10634,29
10413,29
5872,29
6972,29
505,29
10592,29
8845,29
12281,28
11502,28
12247,27
6108,27
4814,27
8682,27
9226,26
10696,26
723,26
6573,26
9694,26
8923,25
698,25
9759,25
11572,24
1023,24
202,24
257,24
5871,24
8730,24
9541,24
5056,23
5394,23
11195,23
12411,23
484,23
633,23
8565,23
10550,22
7779,22
10387,21
11159,21
6011,21
10594,21
10504,21
11797,21
10112,21
6387,21
6588,20
9879,20
8448,20
615,20
12085,20
5902,20
10776,20
12424,20
12229,20
11517,20
10756,19
10769,19
9934,19
6437,19
7998,19
12467,19
10711,19
8198,19
1038,19
708,19
12277,18
10427,18
7161,18
10949,18
10761,18
12316,17
9652,17
12355,17
12165,17
5987,17
1049,17
11010,17
11071,17
11999,17
10132,16
9034,16
8231,16
11801,16
12027,16
143,16
11361,16
697,16
603,16
10637,16
10835,16
365,16
6250,15
12301,15
12263,15
11016,15
1190,15
7709,15
7047,15
11217,15
1663,15
6448,15
5324,15
11471,14
7059,14
492,14
10577,14
8379,14
360,14
11514,14
11567,14
4624,14
5445,14
10941,14
1196,14
10809,14
12166,13
8042,13
11601,13
917,13
8663,13
8434,13
476,13
1029,13
11746,13
12094,13
10403,13
10226,13
11414,13
6307,13
5575,13
11131,12
7672,12
1199,12
11250,12
9886,12
1191,12
10910,12
1329,12
10766,12
12370,12
1018,12
10341,12
6273,12
10023,12
9908,12
9890,12
11292,12
12029,12
12526,12
12175,12
11555,12
11512,12
10961,11
12406,11
10648,11
12322,11
11867,11
1139,11
6446,11
10072,11
11399,11
12227,11
12038,11
12275,11
12431,11
12176,10
12005,10
6744,10
1790,10
11518,10
5066,10
5640,10
6342,10
12464,10
6345,10
9556,10
9712,10
12129,10
977,10
11770,9
12519,9
1720,9
11813,9
12505,9
12164,9
10001,9
533,9
1059,9
8939,9
9580,9
10220,9
12358,9
11815,9
11893,9
7269,9
11984,9
281,9
12421,9
11556,9
152,9
11523,9
11246,9
11605,8
9595,8
11132,8
11168,8
11191,8
12185,8
10108,8
5904,8
1277,8
12351,8
967,8
11287,8
300,8
9751,8
11794,8
11877,8
6358,8
12266,8
10909,8
8540,8
10787,8
12523,8
486,8
11826,8
5722,8
488,8
12091,8
1155,8
10857,8
8423,8
10907,7
