PartnerId,DocumentDate
4878,2022-12-30
331,2022-12-30
554,2022-12-30
12653,2022-12-30
331,2022-12-30
1019,2022-12-30
11572,2022-12-30
4596,2022-12-30
6448,2022-12-30
12467,2022-12-30
11159,2022-12-29
7047,2022-12-29
8655,2022-12-29
11414,2022-12-29
9975,2022-12-29
6573,2022-12-29
8857,2022-12-29
143,2022-12-29
6560,2022-12-29
8655,2022-12-29
12698,2022-12-29
6273,2022-12-29
11877,2022-12-29
9934,2022-12-29
8362,2022-12-28
1058,2022-12-28
1098,2022-12-28
954,2022-12-28
11173,2022-12-28
6108,2022-12-28
554,2022-12-28
10413,2022-12-28
7189,2022-12-28
1106,2022-12-28
1035,2022-12-28
12798,2022-12-28
9212,2022-12-28
1098,2022-12-28
12812,2022-12-28
554,2022-12-28
1098,2022-12-28
1098,2022-12-28
10711,2022-12-28
10711,2022-12-28
12724,2022-12-28
10771,2022-12-28
10599,2022-12-28
12724,2022-12-28
331,2022-12-28
732,2022-12-28
1098,2022-12-28
1098,2022-12-28
1098,2022-12-28
10829,2022-12-28
1098,2022-12-28
11517,2022-12-28
331,2022-12-28
7361,2022-12-28
1098,2022-12-28
1098,2022-12-28
316,2022-12-28
202,2022-12-27
690,2022-12-27
10413,2022-12-27
1023,2022-12-27
11119,2022-12-27
9214,2022-12-27
9214,2022-12-27
12486,2022-12-27
9214,2022-12-27
9214,2022-12-27
12370,2022-12-27
11255,2022-12-27
162,2022-12-27
12484,2022-12-27
10387,2022-12-27
10387,2022-12-27
12215,2022-12-27
1663,2022-12-27
11350,2022-12-27
8456,2022-12-27
8456,2022-12-27
690,2022-12-27
12506,2022-12-27
12083,2022-12-27
10899,2022-12-27
524,2022-12-27
6326,2022-12-27
8655,2022-12-27
12809,2022-12-27
6130,2022-12-27
6130,2022-12-27
6130,2022-12-27
6130,2022-12-27
6130,2022-12-27
11301,2022-12-27
7287,2022-12-27
6326,2022-12-27
524,2022-12-27
1029,2022-12-27
12215,2022-12-27
11246,2022-12-27
12279,2022-12-27
9676,2022-12-27
11095,2022-12-27
12702,2022-12-27
864,2022-12-27
12229,2022-12-27
11444,2022-12-23
1804,2022-12-23
1809,2022-12-23
1804,2022-12-23
6027,2022-12-23
9908,2022-12-23
1387,2022-12-22
1098,2022-12-22
1851,2022-12-22
1199,2022-12-22
12736,2022-12-22
12215,2022-12-22
1199,2022-12-22
8042,2022-12-22
12343,2022-12-22
1387,2022-12-22
650,2022-12-22
6727,2022-12-22
11195,2022-12-22
6246,2022-12-22
1098,2022-12-22
554,2022-12-22
8456,2022-12-22
12807,2022-12-22
9886,2022-12-22
5902,2022-12-22
8927,2022-12-22
7128,2022-12-22
12807,2022-12-22
6246,2022-12-22
5902,2022-12-22
8655,2022-12-22
1098,2022-12-22
316,2022-12-22
6919,2022-12-22
10504,2022-12-22
316,2022-12-22
4624,2022-12-21
6246,2022-12-21
316,2022-12-21
5866,2022-12-21
5866,2022-12-21
9866,2022-12-21
723,2022-12-21
12801,2022-12-21
10909,2022-12-21
9694,2022-12-21
10889,2022-12-21
12799,2022-12-21
12140,2022-12-21
8682,2022-12-21
11010,2022-12-21
11741,2022-12-21
12802,2022-12-21
10996,2022-12-21
954,2022-12-21
12279,2022-12-21
6173,2022-12-21
10236,2022-12-21
6027,2022-12-21
1035,2022-12-21
9541,2022-12-21
689,2022-12-21
650,2022-12-21
10766,2022-12-21
12797,2022-12-20
12523,2022-12-20
777,2022-12-20
917,2022-12-20
12467,2022-12-20
12227,2022-12-20
8923,2022-12-20
6108,2022-12-20
331,2022-12-20
1838,2022-12-20
524,2022-12-20
524,2022-12-20
12610,2022-12-20
12083,2022-12-20
11255,2022-12-20
1196,2022-12-20
10637,2022-12-20
12793,2022-12-20
8655,2022-12-20
12505,2022-12-20
8992,2022-12-20
484,2022-12-20
5445,2022-12-20
9833,2022-12-20
12247,2022-12-20
11471,2022-12-20
360,2022-12-20
1190,2022-12-20
12263,2022-12-20
8456,2022-12-20
9593,2022-12-20
7021,2022-12-20
9593,2022-12-20
9593,2022-12-20
12601,2022-12-20
9593,2022-12-20
8813,2022-12-20
7330,2022-12-20
5871,2022-12-20
5871,2022-12-20
8939,2022-12-20
11246,2022-12-20
12083,2022-12-20
1155,2022-12-20
353,2022-12-20
11471,2022-12-20
11471,2022-12-20
1038,2022-12-20
12263,2022-12-20
5445,2022-12-20
11292,2022-12-20
7047,2022-12-20
9593,2022-12-20
113,2022-12-20
9593,2022-12-20
113,2022-12-20
10027,2022-12-20
6573,2022-12-20
793,2022-12-20
1098,2022-12-20
10949,2022-12-20
8655,2022-12-20
1329,2022-12-20
10599,2022-12-19
11518,2022-12-19
505,2022-12-19
12316,2022-12-19
12277,2022-12-19
6805,2022-12-19
6015,2022-12-19
7269,2022-12-19
5872,2022-12-19
9226,2022-12-19
6557,2022-12-19
11572,2022-12-19
8845,2022-12-19
9879,2022-12-19
5820,2022-12-19
316,2022-12-19
882,2022-12-19
193,2022-12-19
5390,2022-12-19
8191,2022-12-19
10809,2022-12-19
1098,2022-12-19
4814,2022-12-19
564,2022-12-19
1851,2022-12-19
1851,2022-12-19
257,2022-12-19
1098,2022-12-19
5987,2022-12-19
5987,2022-12-19
316,2022-12-19
10691,2022-12-19
5056,2022-12-19
8362,2022-12-19
11119,2022-12-19
442,2022-12-19
12493,2022-12-19
10829,2022-12-19
5904,2022-12-19
6050,2022-12-19
342,2022-12-19
738,2022-12-19
342,2022-12-19
4518,2022-12-19
4518,2022-12-19
10001,2022-12-19
6050,2022-12-19
162,2022-12-19
6727,2022-12-19
9676,2022-12-19
12703,2022-12-19
9652,2022-12-19
1106,2022-12-19
6011,2022-12-19
1098,2022-12-19
11250,2022-12-19
7189,2022-12-19
1098,2022-12-19
1430,2022-12-19
954,2022-12-19
12275,2022-12-19
486,2022-12-19
10949,2022-12-19
6892,2022-12-14
12526,2022-12-14
1430,2022-12-14
12406,2022-12-14
1141,2022-12-14
9214,2022-12-14
4775,2022-12-14
7569,2022-12-14
10835,2022-12-14
10634,2022-12-14
5094,2022-12-14
12281,2022-12-14
324,2022-12-14
9214,2022-12-14
12005,2022-12-14
7484,2022-12-14
11153,2022-12-14
360,2022-12-14
12431,2022-12-14
12728,2022-12-14
12682,2022-12-14
1387,2022-12-14
690,2022-12-14
8191,2022-12-14
9866,2022-12-14
697,2022-12-14
1199,2022-12-14
11601,2022-12-14
11071,2022-12-14
6557,2022-12-14
11797,2022-12-14
7128,2022-12-14
11514,2022-12-14
5902,2022-12-14
4,2022-12-14
10403,2022-12-14
5902,2022-12-14
12728,2022-12-14
723,2022-12-13
11945,2022-12-13
10874,2022-12-13
8565,2022-12-13
113,2022-12-13
1098,2022-12-13
11801,2022-12-13
1098,2022-12-13
8028,2022-12-13
780,2022-12-13
10457,2022-12-13
9759,2022-12-13
8992,2022-12-13
5871,2022-12-13
8456,2022-12-13
6027,2022-12-13
11016,2022-12-13
9106,2022-12-13
12027,2022-12-13
4518,2022-12-13
4518,2022-12-13
6727,2022-12-13
8992,2022-12-13
6573,2022-12-13
1804,2022-12-13
1098,2022-12-13
12279,2022-12-13
8655,2022-12-13
10112,2022-12-13
12083,2022-12-13
12467,2022-12-13
10696,2022-12-13
8379,2022-12-13
864,2022-12-13
12464,2022-12-13
12402,2022-12-13
331,2022-12-13
8362,2022-12-13
780,2022-12-13
331,2022-12-13
1098,2022-12-13
9556,2022-12-13
8805,2022-12-13
967,2022-12-13
12165,2022-12-13
12215,2022-12-13
10592,2022-12-13
11976,2022-12-13
708,2022-12-13
12698,2022-12-13
9214,2022-12-13
316,2022-12-12
4814,2022-12-12
12605,2022-12-12
1035,2022-12-12
12702,2022-12-12
316,2022-12-12
10599,2022-12-12
7287,2022-12-12
12070,2022-12-12
6050,2022-12-12
6557,2022-12-12
698,2022-12-12
1809,2022-12-12
1106,2022-12-12
954,2022-12-12
11301,2022-12-12
6588,2022-12-12
9890,2022-12-12
12395,2022-12-12
554,2022-12-12
690,2022-12-12
554,2022-12-12
738,2022-12-12
12687,2022-12-12
8655,2022-12-12
202,2022-12-12
10132,2022-12-12
9214,2022-12-12
9214,2022-12-12
12782,2022-12-12
689,2022-12-12
6108,2022-12-12
12094,2022-12-12
1083,2022-12-12
193,2022-12-12
11871,2022-12-12
12318,2022-12-12
11350,2022-12-12
12301,2022-12-12
162,2022-12-12
12464,2022-12-12
1187,2022-12-12
11255,2022-12-12
1098,2022-12-12
1098,2022-12-12
11119,2022-12-12
1809,2022-12-12
162,2022-12-12
615,2022-12-09
1141,2022-12-09
8905,2022-12-09
12242,2022-12-09
11159,2022-12-09
6050,2022-12-09
4775,2022-12-09
11794,2022-12-09
6246,2022-12-09
1430,2022-12-08
9866,2022-12-08
9541,2022-12-08
11361,2022-12-08
10910,2022-12-08
6246,2022-12-08
942,2022-12-08
316,2022-12-08
1058,2022-12-08
12490,2022-12-08
12702,2022-12-08
12672,2022-12-08
11173,2022-12-08
6011,2022-12-08
780,2022-12-08
193,2022-12-08
11325,2022-12-08
5866,2022-12-08
5674,2022-12-08
6919,2022-12-08
12526,2022-12-08
161,2022-12-08
12175,2022-12-08
697,2022-12-08
524,2022-12-08
524,2022-12-08
9515,2022-12-08
12772,2022-12-08
5866,2022-12-08
8927,2022-12-07
11859,2022-12-07
6972,2022-12-07
8663,2022-12-07
10613,2022-12-07
6250,2022-12-07
10899,2022-12-07
8927,2022-12-07
10771,2022-12-07
11356,2022-12-07
11349,2022-12-07
9694,2022-12-07
1098,2022-12-07
10146,2022-12-07
6246,2022-12-07
161,2022-12-07
6246,2022-12-07
6972,2022-12-07
9577,2022-12-07
8362,2022-12-06
1663,2022-12-06
12281,2022-12-06
8191,2022-12-06
331,2022-12-06
6744,2022-12-06
10776,2022-12-06
11444,2022-12-06
6050,2022-12-06
11556,2022-12-06
12302,2022-12-06
1098,2022-12-06
12486,2022-12-06
12083,2022-12-06
6727,2022-12-06
12760,2022-12-06
12760,2022-12-06
331,2022-12-06
12387,2022-12-06
12166,2022-12-06
11217,2022-12-06
316,2022-12-06
6050,2022-12-06
6015,2022-12-06
7189,2022-12-06
6805,2022-12-06
11770,2022-12-06
1790,2022-12-06
9690,2022-12-06
10470,2022-12-06
5390,2022-12-06
10691,2022-12-06
8845,2022-12-06
12316,2022-12-06
882,2022-12-06
564,2022-12-06
12277,2022-12-06
9106,2022-12-06
9690,2022-12-06
8198,2022-12-06
10899,2022-12-06
11255,2022-12-06
1098,2022-12-06
10413,2022-12-06
10504,2022-12-06
793,2022-12-06
342,2022-12-05
9226,2022-12-05
8992,2022-12-05
11119,2022-12-05
7506,2022-12-05
342,2022-12-05
554,2022-12-05
12281,2022-12-05
1809,2022-12-05
8655,2022-12-05
12761,2022-12-05
917,2022-12-05
12247,2022-12-05
10220,2022-12-05
6050,2022-12-05
12761,2022-12-05
10634,2022-12-05
8456,2022-12-05
5425,2022-12-05
12761,2022-12-05
4518,2022-12-05
12467,2022-12-05
1098,2022-12-05
12308,2022-12-05
9676,2022-12-05
12649,2022-12-05
6050,2022-12-05
4518,2022-12-05
8655,2022-12-05
6050,2022-12-05
6173,2022-12-05
9908,2022-12-05
9833,2022-12-05
12279,2022-12-05
6557,2022-12-05
6158,2022-12-05
11867,2022-12-05
8730,2022-12-05
11794,2022-12-05
10761,2022-12-05
10761,2022-12-05
5066,2022-12-05
316,2022-12-05
9866,2022-12-05
9886,2022-12-03
8655,2022-12-03
1139,2022-12-02
723,2022-12-02
10594,2022-12-02
331,2022-12-02
331,2022-12-02
11414,2022-12-02
6108,2022-12-02
11131,2022-12-02
8682,2022-12-02
10829,2022-12-02
12438,2022-12-02
698,2022-12-02
331,2022-12-02
10771,2022-12-02
1038,2022-12-02
10236,2022-12-02
1098,2022-12-02
1098,2022-12-02
1098,2022-12-02
9934,2022-12-02
1098,2022-12-02
11195,2022-12-02
12526,2022-12-02
954,2022-12-02
12759,2022-12-02
12091,2022-11-30
942,2022-11-29
954,2022-11-29
1029,2022-11-29
12029,2022-11-29
12083,2022-11-29
12505,2022-11-29
8456,2022-11-29
12165,2022-11-29
624,2022-11-29
624,2022-11-29
624,2022-11-29
9853,2022-11-29
942,2022-11-29
11379,2022-11-29
6727,2022-11-29
11502,2022-11-29
7709,2022-11-29
9541,2022-11-29
6944,2022-11-29
11349,2022-11-29
8655,2022-11-29
8936,2022-11-29
11010,2022-11-29
7021,2022-11-29
624,2022-11-29
6027,2022-11-29
11833,2022-11-29
11159,2022-11-29
6326,2022-11-29
6326,2022-11-29
10457,2022-11-29
12355,2022-11-29
10457,2022-11-29
11471,2022-11-29
113,2022-11-29
12070,2022-11-29
12605,2022-11-29
12070,2022-11-29
6892,2022-11-29
12516,2022-11-29
12083,2022-11-29
9887,2022-11-29
162,2022-11-29
342,2022-11-29
12755,2022-11-29
554,2022-11-29
7484,2022-11-29
8565,2022-11-29
162,2022-11-29
6727,2022-11-28
11119,2022-11-28
11876,2022-11-28
11301,2022-11-28
6050,2022-11-28
7409,2022-11-28
8231,2022-11-28
6027,2022-11-28
11352,2022-11-28
11350,2022-11-28
281,2022-11-28
12247,2022-11-28
316,2022-11-28
7287,2022-11-28
316,2022-11-28
793,2022-11-28
554,2022-11-28
6273,2022-11-28
331,2022-11-28
162,2022-11-28
690,2022-11-28
1387,2022-11-28
554,2022-11-28
554,2022-11-28
12411,2022-11-28
9652,2022-11-28
12747,2022-11-28
10592,2022-11-28
11859,2022-11-28
8456,2022-11-28
10874,2022-11-28
1387,2022-11-28
8191,2022-11-28
554,2022-11-28
7779,2022-11-28
162,2022-11-28
11292,2022-11-28
162,2022-11-28
8992,2022-11-28
5094,2022-11-28
8655,2022-11-28
690,2022-11-28
12027,2022-11-28
324,2022-11-28
1098,2022-11-28
316,2022-11-28
202,2022-11-28
864,2022-11-28
484,2022-11-28
4967,2022-11-28
11119,2022-11-28
11797,2022-11-28
162,2022-11-28
554,2022-11-28
12215,2022-11-28
1141,2022-11-28
4518,2022-11-28
8434,2022-11-28
12610,2022-11-28
8362,2022-11-28
9676,2022-11-28
4518,2022-11-28
7047,2022-11-28
6050,2022-11-25
365,2022-11-25
10835,2022-11-25
554,2022-11-25
1186,2022-11-25
12497,2022-11-25
162,2022-11-25
10696,2022-11-25
143,2022-11-25
6130,2022-11-25
10761,2022-11-25
6130,2022-11-25
6130,2022-11-25
6130,2022-11-25
6130,2022-11-25
8992,2022-11-25
8992,2022-11-25
11572,2022-11-24
11361,2022-11-24
12281,2022-11-24
1098,2022-11-24
193,2022-11-24
10874,2022-11-24
5871,2022-11-24
4814,2022-11-24
12355,2022-11-24
8927,2022-11-24
11195,2022-11-24
5575,2022-11-24
11999,2022-11-24
316,2022-11-24
554,2022-11-24
8028,2022-11-24
10949,2022-11-24
11561,2022-11-24
1058,2022-11-24
7189,2022-11-24
11945,2022-11-24
12038,2022-11-24
6246,2022-11-24
10787,2022-11-24
11195,2022-11-24
7714,2022-11-24
5866,2022-11-24
11518,2022-11-24
11195,2022-11-24
1059,2022-11-23
113,2022-11-23
12131,2022-11-23
11891,2022-11-23
7161,2022-11-23
9694,2022-11-23
524,2022-11-23
12467,2022-11-23
10648,2022-11-23
12424,2022-11-23
10403,2022-11-23
10756,2022-11-23
1387,2022-11-23
5324,2022-11-23
7128,2022-11-23
9759,2022-11-23
10771,2022-11-23
11605,2022-11-23
10771,2022-11-23
11255,2022-11-23
11655,2022-11-23
11555,2022-11-23
5987,2022-11-23
603,2022-11-23
8730,2022-11-23
8191,2022-11-23
12738,2022-11-23
4775,2022-11-22
12624,2022-11-22
1098,2022-11-22
12698,2022-11-22
12083,2022-11-22
505,2022-11-22
1098,2022-11-22
6246,2022-11-22
8655,2022-11-22
9866,2022-11-22
316,2022-11-22
8923,2022-11-22
1809,2022-11-22
8191,2022-11-22
6027,2022-11-22
10112,2022-11-22
1098,2022-11-22
193,2022-11-22
8456,2022-11-22
1098,2022-11-22
11422,2022-11-22
1098,2022-11-22
1853,2022-11-22
10413,2022-11-22
11399,2022-11-22
11399,2022-11-22
11399,2022-11-22
1191,2022-11-22
6050,2022-11-22
12523,2022-11-22
1098,2022-11-22
7128,2022-11-22
7569,2022-11-22
9106,2022-11-22
10899,2022-11-22
12027,2022-11-22
4518,2022-11-21
633,2022-11-21
1809,2022-11-21
9676,2022-11-21
9214,2022-11-21
1809,2022-11-21
10236,2022-11-21
316,2022-11-21
4518,2022-11-21
708,2022-11-21
9866,2022-11-21
11444,2022-11-21
8992,2022-11-21
5056,2022-11-21
6919,2022-11-21
6227,2022-11-21
342,2022-11-21
342,2022-11-21
9584,2022-11-21
12370,2022-11-21
257,2022-11-21
6250,2022-11-21
780,2022-11-21
7826,2022-11-21
793,2022-11-21
331,2022-11-21
6108,2022-11-21
4775,2022-11-21
1430,2022-11-21
11255,2022-11-21
12279,2022-11-21
780,2022-11-21
1098,2022-11-21
11448,2022-11-21
12600,2022-11-21
316,2022-11-21
10711,2022-11-21
316,2022-11-21
8362,2022-11-21
650,2022-11-21
10599,2022-11-21
12247,2022-11-21
1141,2022-11-21
1098,2022-11-21
1098,2022-11-21
554,2022-11-21
10637,2022-11-21
8655,2022-11-21
11119,2022-11-21
11523,2022-11-21
12322,2022-11-21
9879,2022-11-21
1106,2022-11-21
954,2022-11-21
1098,2022-11-21
8191,2022-11-21
9226,2022-11-21
6050,2022-11-21
5039,2022-11-21
917,2022-11-18
1155,2022-11-18
1106,2022-11-18
5640,2022-11-18
12301,2022-11-18
6437,2022-11-18
6769,2022-11-18
690,2022-11-18
7021,2022-11-18
6173,2022-11-18
6173,2022-11-18
10874,2022-11-18
10387,2022-11-18
1190,2022-11-18
7059,2022-11-18
12736,2022-11-18
1387,2022-11-18
1387,2022-11-18
12518,2022-11-18
5902,2022-11-18
12682,2022-11-17
11173,2022-11-17
1155,2022-11-17
9890,2022-11-17
11325,2022-11-17
793,2022-11-17
10132,2022-11-17
11652,2022-11-17
12279,2022-11-17
316,2022-11-17
10599,2022-11-17
1098,2022-11-17
5445,2022-11-17
8028,2022-11-17
1049,2022-11-17
954,2022-11-17
12070,2022-11-17
8939,2022-11-17
8362,2022-11-17
6557,2022-11-17
11016,2022-11-17
8456,2022-11-17
12727,2022-11-16
12277,2022-11-16
12215,2022-11-16
690,2022-11-16
1199,2022-11-16
8198,2022-11-16
161,2022-11-16
4518,2022-11-16
4518,2022-11-16
5866,2022-11-16
524,2022-11-16
7047,2022-11-16
12486,2022-11-16
6087,2022-11-16
11361,2022-11-16
12682,2022-11-16
689,2022-11-16
11350,2022-11-16
615,2022-11-16
12464,2022-11-16
1098,2022-11-16
11711,2022-11-15
6972,2022-11-15
10696,2022-11-15
1720,2022-11-15
12166,2022-11-15
7128,2022-11-15
1720,2022-11-15
12281,2022-11-15
7128,2022-11-15
697,2022-11-15
10769,2022-11-15
